,carat,cut,color,clarity,depth,table,x,y,z,price
25887,2.1,Premium,I,SI1,61.5,57.0,8.25,8.21,5.06,15007
25891,2.02,Premium,G,SI2,63.0,59.0,8.05,7.95,5.03,15014
25900,2.8,Premium,I,SI2,61.1,59.0,9.03,8.98,5.5,15030
25902,2.19,Premium,I,SI2,60.8,60.0,8.34,8.38,5.08,15032
25904,2.09,Premium,J,VS1,61.2,59.0,8.22,8.31,5.06,15035
25913,2.07,Premium,I,SI2,60.5,60.0,8.32,8.27,5.02,15055
25915,2.2,Premium,J,VS1,61.7,59.0,8.3,8.34,5.13,15064
25918,2.08,Premium,I,SI1,60.3,59.0,8.26,8.22,4.97,15065
25919,2.05,Premium,J,VS1,60.1,58.0,8.25,8.19,4.94,15067
25934,2.03,Premium,I,SI1,59.9,58.0,8.23,8.21,4.92,15095
25935,2.0,Premium,H,SI1,62.0,56.0,8.05,7.94,4.96,15096
25936,2.12,Premium,I,SI2,60.6,59.0,8.27,8.3,5.02,15097
25937,1.7,Premium,D,SI1,61.9,59.0,7.61,7.64,4.72,15100
25940,2.01,Premium,G,SI1,61.8,59.0,8.15,8.09,5.02,15105
25943,2.05,Premium,J,VS1,62.5,60.0,8.14,8.09,5.07,15109
25945,2.13,Premium,J,VS2,59.6,59.0,8.43,8.37,5.01,15110
25955,2.01,Premium,F,SI1,63.0,59.0,7.99,7.89,5.0,15134
25963,2.01,Premium,G,SI2,62.3,60.0,8.04,7.97,4.99,15147
25964,2.53,Premium,H,SI2,61.1,57.0,8.82,8.76,5.37,15148
25965,1.73,Premium,G,VS1,62.8,57.0,7.72,7.57,4.8,15151
25969,1.82,Premium,G,SI1,62.7,58.0,7.75,7.68,4.84,15162
25974,2.19,Premium,I,SI2,60.8,60.0,8.38,8.34,5.08,15169
25975,2.19,Premium,I,SI2,62.5,58.0,8.31,8.26,5.18,15169
25977,2.1,Premium,G,SI2,62.6,56.0,8.2,8.16,5.12,15175
25979,2.22,Premium,I,SI2,62.9,59.0,8.24,8.2,5.17,15184
25981,2.01,Premium,J,VS1,60.1,59.0,8.25,8.18,4.94,15185
25984,1.62,Premium,G,VS1,59.4,58.0,7.74,7.68,4.58,15188
25989,2.11,Premium,D,SI2,58.7,60.0,8.45,8.41,4.95,15198
25990,2.2,Premium,J,VS1,61.7,59.0,8.34,8.3,5.13,15201
25993,2.0,Premium,J,VVS2,63.0,59.0,8.0,7.97,5.03,15214
25995,2.04,Premium,G,SI1,60.7,62.0,8.3,8.15,4.96,15217
